"Date","steem_price","sbd_price","amount","from","memo","to","timestamp","currency_amount","currency_type","direction","dollar_price_of_tr","tr_type"
"2017-07-28",1.35,0.926327,"1.000 SBD","minnowbooster","@misrori's daily quota of 1SBD was reached by 0.804 + 1.0, please stay under your limit!","misrori","2017-07-28T13:38:06",1,"SBD","in",0.93,"normal_tr"
"2017-07-28",1.35,0.926327,"1.000 SBD","misrori","https://steemit.com/life/@misrori/a-video-that-i-can-not-explain","booster","2017-07-28T13:40:03",1,"SBD","out",0.93,"normal_tr"
"2017-07-28",1.35,0.926327,"1.000 SBD","misrori","https://steemit.com/life/@misrori/a-video-that-i-can-not-explain","minnowbooster","2017-07-28T16:03:24",1,"SBD","out",0.93,"normal_tr"
"2017-07-30",1.3,0.949344,"1.000 SBD","misrori","https://steemit.com/stm/@selmaci/first-login#@misrori/re-selmaci-first-login-20170727t153204588z","minnowbooster","2017-07-30T06:32:15",1,"SBD","out",0.95,"normal_tr"
"2017-07-30",1.3,0.949344,"2.000 SBD","misrori","https://steemit.com/internetmoney/@misrori/inching-closer-to-bitcoin-upgrade-are-you-ready","booster","2017-07-30T06:37:00",2,"SBD","out",1.9,"normal_tr"
"2017-07-31",1.2,0.929341,"1.000 SBD","misrori","https://steemit.com/holiday/@misrori/parajd-salt-mine","minnowbooster","2017-07-31T11:16:18",1,"SBD","out",0.93,"normal_tr"
"2017-07-31",1.2,0.929341,"2.000 SBD","misrori","https://steemit.com/holiday/@misrori/parajd-salt-mine","booster","2017-07-31T11:17:18",2,"SBD","out",1.86,"normal_tr"
"2017-08-01",1.2,0.946601,"1.000 SBD","misrori","https://steemit.com/drakula/@misrori/i-am-with-drakula","minnowbooster","2017-08-01T14:53:03",1,"SBD","out",0.95,"normal_tr"
"2017-08-03",1.24,0.946285,"1.000 SBD","misrori","https://steemit.com/off-road/@misrori/off-road-tour-in-romania","minnowbooster","2017-08-03T06:36:18",1,"SBD","out",0.95,"normal_tr"
"2017-08-04",1.27,0.950288,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/the-birth-of-bitcoin-cash-and-the-resilience-of-bitcoin","minnowbooster","2017-08-04T18:22:45",1,"SBD","out",0.95,"normal_tr"
"2017-08-05",1.28,0.974919,"0.001 SBD","curator-whale","Hey there   ! Do you want to send messages/tips to Steemit Followers free of charge?   Then don't miss my latest resteemed blog post. Tool: https://steemtools.club","misrori","2017-08-05T08:12:21",0.001,"SBD","in",0,"normal_tr"
"2017-08-06",1.35,0.974556,"0.001 SBD","joanaltres","Resteeming Service Update: From this point forward all resteems will cost only $2 starting now. You can order a resteem to over 9000 followers for your post by sending 2 SBD (Steem Dollars) and the link to your post to @carlobelgado. The result you get depends on your post quality and how interesting it is to people. Resteems are just like retweets on Twitter - it puts your post in front of more eyeballs but it doesn't guarantee people will click on it to read it and upvote it. More money is only one of the possible benefits from a resteem. You could also gain more followers who support your efforts on Steemit long term. Hopefully, this will help some of you gain more exposure on this great platform where it is very hard these days to attract views for your posts. To order a resteem for your post, send 2 SBD and the link to your post to @carlobelgado, and he will resteem it. Best wishes!","misrori","2017-08-06T12:47:45",0.001,"SBD","in",0,"normal_tr"
"2017-08-07",1.36,0.966123,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/the-birth-of-bitcoin-cash-and-the-resilience-of-bitcoin#@misrori/re-misrori-the-birth-of-bitcoin-cash-and-the-resilience-of-bitcoin-20170807t104511262z","minnowbooster","2017-08-07T10:47:24",1,"SBD","out",0.97,"normal_tr"
"2017-08-07",1.36,0.966123,"1.000 SBD","minnowbooster","Comment voting was disabled, read our update: https://steemit.com/minnowbooster/@minnowbooster/minnowbooster-update-log-10","misrori","2017-08-07T10:47:33",1,"SBD","in",0.97,"normal_tr"
"2017-08-08",1.31,0.93511,"1.000 SBD","misrori","https://steemit.com/bitcoincash/@misrori/bcc-raised-50-in-the-last-two-days","minnowbooster","2017-08-08T06:33:54",1,"SBD","out",0.94,"normal_tr"
"2017-08-09",1.36,0.963086,"1.000 SBD","misrori","https://steemit.com/bitcoincash/@misrori/bitcoin-cash-raised-56-in-the-last-3-days","minnowbooster","2017-08-09T07:18:45",1,"SBD","out",0.96,"normal_tr"
"2017-08-09",1.36,0.963086,"0.001 SBD","joanaltres","RESTEEM SERVICE! We're offering resteems to over 9000 followers for only 2 SBD or 2 STEEM per resteem. Our resteems generally do better than Promoted Posts. See my order page at resteem.com if you are interested, or you can simply send 2 SBD or 2 STEEM now and the link to your post to @carlobelgado and we'll resteem it right away. Resteems get you more views, more followers, more engagement on your post, and usually more money. We've had several repeat buyers who love the service. Thanks!","misrori","2017-08-09T10:10:57",0.001,"SBD","in",0,"normal_tr"
"2017-08-09",1.36,0.963086,"0.001 STEEM","misrori","xetaf-fatak-funyx","minnowsupport","2017-08-09T12:07:15",0.001,"STEEM","out",0,"normal_tr"
"2017-08-09",1.36,0.963086,"0.001 STEEM","misrori","xetif-nonek-kivix","banjo","2017-08-09T12:07:54",0.001,"STEEM","out",0,"normal_tr"
"2017-08-10",1.31,0.916414,"1.000 SBD","misrori","https://steemit.com/steemwhales/@misrori/i-found-the-biggest-steemwhales-in-budapest","minnowsupport","2017-08-10T17:15:21",1,"SBD","out",0.92,"normal_tr"
"2017-08-11",1.21,0.904334,"0.001 SBD","joanaltres","Resteem.com Update. Get your post resteemed to over 10,000 followers for only 2 SBD or 2 STEEM. Resteeming works like a retweet and gives your post on Steemit more exposure, resulting in more views, comments, upvotes, and followers! We already have many satisfied and repeat customers. And now you also get some of your investment back when we upvote you! That's right, you get both a resteem to your post to over 10,000 followers, plus you get upvoted by 3 accounts carrying over 3,000 Steem Power each. To order a resteem, send 2 SBD or 2 STEEM to @carlobelgado, or visit Resteem.com for more information. Thank you! IF YOU DO NOT WANT TO RECEIVE MESSAGES FROM ME ANYMORE, SIMPLY UNFOLLOW ME AND YOU WON'T RECEIVE MESSAGES AGAIN FROM MY ACCOUNT.","misrori","2017-08-11T16:02:36",0.001,"SBD","in",0,"normal_tr"
"2017-08-11",1.21,0.904334,"1.000 SBD","misrori","https://steemit.com/neo/@misrori/12days-400-with-antshares-neo","minnowbooster","2017-08-11T17:02:09",1,"SBD","out",0.9,"normal_tr"
"2017-08-13",1.36,0.855263,"1.000 SBD","misrori","https://steemit.com/neo/@misrori/12days-400-with-antshares-neo","bellyrub","2017-08-13T07:55:00",1,"SBD","out",0.86,"normal_tr"
"2017-08-14",1.24,0.913326,"0.001 SBD","thepunisherr","Do you want your post to be upvoted by a minimum of 200 users and get your post resteemd to nearly 6000 followers? Just sent 2 steem or 2 steemdollar to jones420 and put your post in memo. 200 upvotes? To good to be true? Just take a look at https://steemit.com/@jones420 Have a nice day and steem on!","misrori","2017-08-14T16:14:48",0.001,"SBD","in",0,"normal_tr"
"2017-08-16",1.13,0.869318,"0.001 SBD","joanaltres","Resteem.com Update: BEFORE you order a resteem from someone, check out the total value of our followers against our competition here: https://steemdb.com/accounts/followers - The higher the number of GV, the better. You can see under the ""Followers"" column that @joanaltres followers have a total of over 14 GV, and @carlobelgado followers have a total of over 10 GV. That means when you order a resteem from us, you actually have a good shot at making more money because our followers have more Steem Power than our competitors, and getting more followers for yourself who have more Steem Power is key to growth of your account on Steemit. In fact, if you look up our competitors, you'll see that they don't even compare at all and can't do you much good at all. So go with the first and the best: Resteem.com. It costs only 2 SBD or 2 STEEM and you can also order directly by sending 2 SBD or 2 STEEM to @carlobelgado. WATCH OUT FOR FAKERS WHOSE FOLLOWERS HAVE LOW GV. THEY SWIPE OUR MESSAGES AND PRETEND TO BE US. Unless you get a message from @joanaltres, it is not from resteem.com. Thank you! IF YOU NO LONGER WANT TO RECEIVE MESSAGES FROM ME, SIMPLY UNFOLLOW ME.","misrori","2017-08-16T13:05:27",0.001,"SBD","in",0,"normal_tr"
"2017-08-21",1.41,0.870248,"1.000 SBD","misrori","https://steemit.com/steemit/@misrori/steemwhales-vote-analysis-whales-are-active-8-289-674-votes-from-770-whales","minnowbooster","2017-08-21T05:57:24",1,"SBD","out",0.87,"normal_tr"
"2017-08-21",1.41,0.870248,"1.000 SBD","misrori","https://steemit.com/steemit/@misrori/steemwhales-vote-analysis-whales-are-active-8-289-674-votes-from-770-whales","bellyrub","2017-08-21T06:01:33",1,"SBD","out",0.87,"normal_tr"
"2017-08-28",1.43,0.956818,"1.000 SBD","misrori","https://steemit.com/steem/@misrori/follow-the-crypto-prices-with-my-app","minnowbooster","2017-08-28T08:33:18",1,"SBD","out",0.96,"normal_tr"
"2017-08-28",1.43,0.956818,"1.000 SBD","misrori","https://steemit.com/steem/@misrori/follow-the-crypto-prices-with-my-app","bellyrub","2017-08-28T08:33:54",1,"SBD","out",0.96,"normal_tr"
"2017-08-28",1.43,0.956818,"0.001 SBD","bago","Do you consider your post to be undervalued? Do you want to get more exposure and upvotes?
Just go to: http://resteemservice.com/ The BEST resteem service on steemit!
","misrori","2017-08-28T16:22:36",0.001,"SBD","in",0,"normal_tr"
"2017-08-28",1.43,0.956818,"2.000 SBD","misrori","https://steemit.com/steem/@misrori/follow-the-crypto-prices-with-my-app","jones420","2017-08-28T16:48:09",2,"SBD","out",1.91,"normal_tr"
"2017-08-29",1.46,0.978327,"0.001 SBD","jones420","Do you consider your post to be undervalued? Do you want to get more exposure and upvotes?
Just go to: http://resteemservice.com/ The BEST resteem service on steemit!","misrori","2017-08-29T16:11:33",0.001,"SBD","in",0,"normal_tr"
"2017-08-29",1.46,0.978327,"0.001 SBD","bago","Do you consider your post to be undervalued? Do you want to get more exposure and upvotes?
Just go to: http://resteemservice.com The BEST resteem service on steemit!","misrori","2017-08-29T19:34:09",0.001,"SBD","in",0,"normal_tr"
"2017-08-29",1.46,0.978327,"0.001 SBD","melowd"," SPECIAL RESTEEM: ON EVERY 2 RESTEEM REQUEST, YOU WILL GET THE 3rd ONE FREE. JUST MENTION ""FREE"" IN THE MEMO WITH YOUR URL ON THE 3rd REQUEST. Get More Exposure To Your Blog"" Do you want more Views, Comments, Upvotes, possibly more Followers, Leads and Sales? REQUEST A RESTEEM      To Over 6500 PEOPLE On Steemit. """"""Send 1 Steem/SBD - URL as Memo""""""","misrori","2017-08-29T23:54:24",0.001,"SBD","in",0,"normal_tr"
