"Date","steem_price","sbd_price"
2016-04-18,0.642902,1
2016-04-19,0.877911,1
2016-04-20,0.766135,1
2016-04-21,0.833049,1
2016-04-22,0.678877,1
2016-04-23,0.445658,1
2016-04-24,0.572256,1
2016-04-25,0.56454,1
2016-04-26,0.369367,1
2016-04-27,0.374307,1
2016-04-28,0.43088,1
2016-04-29,0.450283,1
2016-04-30,0.433501,1
2016-05-01,0.419234,1
2016-05-02,0.466055,1
2016-05-03,0.40293,1
2016-05-04,0.443663,1
2016-05-05,0.421569,1
2016-05-06,0.385313,1
2016-05-07,0.354537,1
2016-05-08,0.309497,1
2016-05-09,0.310065,1
2016-05-10,0.258959,1
2016-05-11,0.255641,1
2016-05-12,0.252159,1
2016-05-13,0.264899,1
2016-05-14,0.345495,1
2016-05-15,0.375679,1
2016-05-16,0.3742,1
2016-05-17,0.342727,1
2016-05-18,0.382281,1
2016-05-19,0.343356,1
2016-05-20,0.34696,1
2016-05-21,0.422913,1
2016-05-22,0.445715,1
2016-05-23,0.42857,1
2016-05-24,0.444565,1
2016-05-25,0.534247,1
2016-05-26,0.56582,1
2016-05-27,0.734074,1
2016-05-28,0.514226,1
2016-05-29,0.482347,1
2016-05-30,0.452462,1
2016-05-31,0.443893,1
2016-06-01,0.425098,1
2016-06-02,0.417316,1
2016-06-03,0.405808,1
2016-06-04,0.369022,1
2016-06-05,0.424669,1
2016-06-06,0.369551,1
2016-06-07,0.385066,1
2016-06-08,0.341024,1
2016-06-09,0.36978,1
2016-06-10,0.391214,1
2016-06-11,0.371175,1
2016-06-12,0.38348,1
2016-06-13,0.375797,1
2016-06-14,0.387306,1
2016-06-15,0.381112,1
2016-06-16,0.351744,1
2016-06-17,0.405581,1
2016-06-18,0.311079,1
2016-06-19,0.303332,1
2016-06-20,0.335788,1
2016-06-21,0.303419,1
2016-06-22,0.204185,1
2016-06-23,0.212338,1
2016-06-24,0.283471,1
2016-06-25,0.234966,1
2016-06-26,0.227149,1
2016-06-27,0.197915,1
2016-06-28,0.207378,1
2016-06-29,0.233446,1
2016-06-30,0.229597,1
2016-07-01,0.273169,1
2016-07-02,0.204875,1
2016-07-03,0.220002,1
2016-07-04,0.236015,1
2016-07-05,0.239643,1
2016-07-06,0.241239,1
2016-07-07,0.253167,1
2016-07-08,0.300143,1
2016-07-09,0.324527,1
2016-07-10,0.533428,1
2016-07-11,0.557299,1
2016-07-12,0.985028,1
2016-07-13,2.64,1
2016-07-14,4.12,1
2016-07-15,3.76,1
2016-07-16,3.22,1
2016-07-17,3.24,1
2016-07-18,3.28,0.95782
2016-07-19,2.53,1.47
2016-07-20,4.3,1.31
2016-07-21,3.94,1.3
2016-07-22,3.44,1.22
2016-07-23,3.39,1.17
2016-07-24,3.81,1.11
2016-07-25,3.5,0.970883
2016-07-26,3.35,0.937504
2016-07-27,2.8,0.854344
2016-07-28,2.77,0.820465
2016-07-29,2.67,0.879028
2016-07-30,2.17,0.944342
2016-07-31,2.46,0.872475
2016-08-01,2.31,0.796968
2016-08-02,2.17,0.786051
2016-08-03,2.07,0.865631
2016-08-04,2.09,0.859989
2016-08-05,2.06,0.897026
2016-08-06,2.07,0.869804
2016-08-07,2.04,0.876116
2016-08-08,2.09,0.896153
2016-08-09,2,0.906081
2016-08-10,1.8,0.88114
2016-08-11,1.59,0.829118
2016-08-12,1.48,0.92148
2016-08-13,1.42,0.883958
2016-08-14,1.59,0.888388
2016-08-15,1.46,0.868427
2016-08-16,1.48,0.898622
2016-08-17,1.39,0.968549
2016-08-18,1.55,0.950685
2016-08-19,1.49,0.992186
2016-08-20,1.48,0.927451
2016-08-21,1.44,0.906843
2016-08-22,1.42,0.903253
2016-08-23,1.33,0.884169
2016-08-24,1.17,0.908128
2016-08-25,1.12,0.893352
2016-08-26,0.978825,0.908387
2016-08-27,0.925003,0.929299
2016-08-28,0.866114,0.897621
2016-08-29,0.784101,0.900782
2016-08-30,1.06,0.886441
2016-08-31,0.953864,0.87849
2016-09-01,0.910429,0.877946
2016-09-02,0.795169,0.865455
2016-09-03,0.826087,0.865386
2016-09-04,0.82432,0.881187
2016-09-05,0.821946,0.812691
2016-09-06,0.803762,0.845435
2016-09-07,0.776917,0.793362
2016-09-08,0.753328,0.797516
2016-09-09,0.655849,0.790891
2016-09-10,0.652902,0.773122
2016-09-11,0.723441,0.843888
2016-09-12,0.644521,0.770598
2016-09-13,0.640697,0.826364
2016-09-14,0.588285,0.871056
2016-09-15,0.573152,0.862802
2016-09-16,0.504338,0.821953
2016-09-17,0.521263,0.91191
2016-09-18,0.528512,0.854887
2016-09-19,0.521045,0.861891
2016-09-20,0.478552,0.931796
2016-09-21,0.443245,0.897052
2016-09-22,0.418813,0.863231
2016-09-23,0.484641,0.871126
2016-09-24,0.485907,0.882359
2016-09-25,0.601947,0.906591
2016-09-26,0.607841,0.913762
2016-09-27,0.563743,0.920331
2016-09-28,0.546994,0.920724
2016-09-29,0.513122,0.895961
2016-09-30,0.50981,0.897945
